"X_START","X_END","Y_START","Y_END"
0,-10,-50,-50
-10,-11.666667,-50,-48.333333
-11.666667,-20,-48.333333,-48.333333
-20,-21.666667,-48.333333,-46.666667
-21.666667,-26.666667,-46.666667,-46.666667
-36.666667,-33.333333,393.333333,393.333333
-33.333333,-31.666667,393.333333,395
-31.666667,-28.333333,395,395
-28.333333,-26.666667,395,396.666667
-26.666667,-23.333333,396.666667,396.666667
-23.333333,-21.666667,396.666667,398.333333
-21.666667,-18.333333,398.333333,398.333333
-18.333333,-16.666667,398.333333,400
-16.666667,-13.333333,400,400
-13.333333,-11.666667,400,401.666667
-11.666667,-8.333333,401.666667,401.666667
-8.333333,-6.666667,401.666667,403.333333
-6.666667,6.666667,403.333333,403.333333
6.666667,8.333333,403.333333,401.666667
8.333333,15,401.666667,401.666667
15,16.666667,401.666667,400
16.666667,21.666667,400,400
21.666667,23.333333,400,398.333333
23.333333,28.333333,398.333333,398.333333
28.333333,30,398.333333,396.666667
30,33.333333,396.666667,396.666667
33.333333,35,396.666667,395
35,38.333333,395,395
38.333333,40,395,393.333333
40,43.333333,393.333333,393.333333
43.333333,45,393.333333,391.666667
45,48.333333,391.666667,391.666667
48.333333,50,391.666667,390
50,51.666667,390,390
51.666667,53.333333,390,388.333333
53.333333,56.666667,388.333333,388.333333
56.666667,58.333333,388.333333,386.666667
58.333333,60,386.666667,386.666667
60,61.666667,386.666667,385
61.666667,63.333333,385,385
63.333333,65,385,383.333333
65,68.333333,383.333333,383.333333
68.333333,70,383.333333,381.666667
70,71.666667,381.666667,381.666667
71.666667,73.333333,381.666667,380
73.333333,75,380,380
75,76.666667,380,378.333333
76.666667,78.333333,378.333333,378.333333
78.333333,80,378.333333,376.666667
80,81.666667,376.666667,376.666667
81.666667,83.333333,376.666667,375
83.333333,85,375,375
85,86.666667,375,373.333333
86.666667,88.333333,373.333333,373.333333
88.333333,90,373.333333,371.666667
90,91.666667,371.666667,371.666667
91.666667,93.333333,371.666667,370
93.333333,95,370,370
95,96.666667,370,368.333333
96.666667,98.333333,368.333333,368.333333
98.333333,101.666667,368.333333,365
101.666667,103.333333,365,365
103.333333,105,365,363.333333
105,106.666667,363.333333,363.333333
106.666667,110,363.333333,360
110,111.666667,360,360
111.666667,115,360,356.666667
115,116.666667,356.666667,356.666667
116.666667,120,356.666667,353.333333
120,121.666667,353.333333,353.333333
121.666667,125,353.333333,350
125,126.666667,350,350
126.666667,131.666667,350,345
131.666667,133.333333,345,345
133.333333,141.666667,345,336.666667
141.666667,143.333333,336.666667,336.666667
143.333333,153.333333,336.666667,326.666667
153.333333,155,326.666667,326.666667
155,183.333333,326.666667,298.333333
183.333333,185,298.333333,295
185,191.666667,295,288.333333
191.666667,193.333333,288.333333,285
193.333333,198.333333,285,280
198.333333,200,280,276.666667
200,203.333333,276.666667,273.333333
203.333333,205,273.333333,270
205,206.666667,270,268.333333
206.666667,208.333333,268.333333,265
208.333333,210,265,263.333333
210,211.666667,263.333333,260
211.666667,215,260,256.666667
215,216.666667,256.666667,253.333333
216.666667,218.333333,253.333333,251.666667
218.333333,221.666667,251.666667,245
221.666667,223.333333,245,243.333333
223.333333,228.333333,243.333333,233.333333
228.333333,228.333333,233.333333,218.333333
228.333333,173.333333,218.333333,163.333333
173.333333,170,163.333333,153.333333
170,168.333333,153.333333,150
168.333333,166.666667,150,145
166.666667,156.666667,145,125
156.666667,155,125,120
155,138.333333,120,86.666667
138.333333,136.666667,86.666667,85
136.666667,128.333333,85,68.333333
128.333333,126.666667,68.333333,66.666667
126.666667,121.666667,66.666667,56.666667
121.666667,120,56.666667,55
120,118.333333,55,51.666667
118.333333,116.666667,51.666667,50
116.666667,115,50,46.666667
115,113.333333,46.666667,45
113.333333,111.666667,45,41.666667
111.666667,110,41.666667,40
110,106.666667,40,33.333333
106.666667,105,33.333333,31.666667
105,103.333333,31.666667,28.333333
103.333333,101.666667,28.333333,26.666667
101.666667,100,26.666667,23.333333
100,98.333333,23.333333,21.666667
98.333333,96.666667,21.666667,18.333333
96.666667,93.333333,18.333333,15
93.333333,91.666667,15,11.666667
91.666667,88.333333,11.666667,8.333333
88.333333,86.666667,8.333333,5
86.666667,83.333333,5,1.666667
83.333333,81.666667,1.666667,-1.666667
81.666667,75,-1.666667,-8.333333
75,73.333333,-8.333333,-11.666667
73.333333,68.333333,-11.666667,-16.666667
68.333333,66.666667,-16.666667,-20
66.666667,60,-20,-26.666667
60,58.333333,-26.666667,-26.666667
58.333333,51.666667,-26.666667,-33.333333
51.666667,50,-33.333333,-33.333333
50,45,-33.333333,-38.333333
45,43.333333,-38.333333,-38.333333
43.333333,41.666667,-38.333333,-40
41.666667,40,-40,-40
40,38.333333,-40,-41.666667
38.333333,36.666667,-41.666667,-41.666667
36.666667,35,-41.666667,-43.333333
35,33.333333,-43.333333,-43.333333
33.333333,31.666667,-43.333333,-45
31.666667,28.333333,-45,-45
28.333333,26.666667,-45,-46.666667
26.666667,21.666667,-46.666667,-46.666667
21.666667,20,-46.666667,-48.333333
20,11.666667,-48.333333,-48.333333
11.666667,10,-48.333333,-50
10,0,-50,-50
-26.666667,-28.333333,-46.666667,-45
-28.333333,-31.666667,-45,-45
-31.666667,-33.333333,-45,-43.333333
-33.333333,-35,-43.333333,-43.333333
-35,-36.666667,-43.333333,-41.666667
-36.666667,-38.333333,-41.666667,-41.666667
-38.333333,-40,-41.666667,-40
-40,-41.666667,-40,-40
-41.666667,-43.333333,-40,-38.333333
-43.333333,-45,-38.333333,-38.333333
-45,-50,-38.333333,-33.333333
-50,-51.666667,-33.333333,-33.333333
-51.666667,-58.333333,-33.333333,-26.666667
-58.333333,-60,-26.666667,-26.666667
-60,-66.666667,-26.666667,-20
-66.666667,-68.333333,-20,-16.666667
-68.333333,-73.333333,-16.666667,-11.666667
-73.333333,-75,-11.666667,-8.333333
-75,-78.333333,-8.333333,-5
-78.333333,-80,-5,-1.666667
-80,-85,-1.666667,3.333333
-85,-86.666667,3.333333,6.666667
-86.666667,-90,6.666667,10
-90,-91.666667,10,13.333333
-91.666667,-96.666667,13.333333,18.333333
-96.666667,-98.333333,18.333333,21.666667
-98.333333,-101.666667,21.666667,25
-101.666667,-103.333333,25,28.333333
-103.333333,-108.333333,28.333333,33.333333
-108.333333,-110,33.333333,36.666667
-110,-113.333333,36.666667,40
-113.333333,-115,40,43.333333
-115,-120,43.333333,48.333333
-120,-121.666667,48.333333,51.666667
-121.666667,-125,51.666667,55
-125,-126.666667,55,58.333333
-126.666667,-128.333333,58.333333,60
-128.333333,-130,60,63.333333
-130,-156.666667,63.333333,143.333333
-156.666667,-158.333333,143.333333,146.666667
-158.333333,-231.666667,146.666667,220
-231.666667,-231.666667,220,231.666667
-231.666667,-230,231.666667,236.666667
-230,-226.666667,236.666667,253.333333
-226.666667,-111.666667,253.333333,368.333333
-111.666667,-108.333333,368.333333,368.333333
-108.333333,-106.666667,368.333333,370
-106.666667,-103.333333,370,370
-103.333333,-101.666667,370,371.666667
-101.666667,-98.333333,371.666667,371.666667
-98.333333,-96.666667,371.666667,373.333333
-96.666667,-93.333333,373.333333,373.333333
-93.333333,-91.666667,373.333333,375
-91.666667,-88.333333,375,375
-88.333333,-86.666667,375,376.666667
-86.666667,-83.333333,376.666667,376.666667
-83.333333,-81.666667,376.666667,378.333333
-81.666667,-78.333333,378.333333,378.333333
-78.333333,-76.666667,378.333333,380
-76.666667,-73.333333,380,380
-73.333333,-71.666667,380,381.666667
-71.666667,-68.333333,381.666667,381.666667
-68.333333,-66.666667,381.666667,383.333333
-66.666667,-63.333333,383.333333,383.333333
-63.333333,-61.666667,383.333333,385
-61.666667,-58.333333,385,385
-58.333333,-56.666667,385,386.666667
-56.666667,-53.333333,386.666667,386.666667
-53.333333,-51.666667,386.666667,388.333333
-51.666667,-48.333333,388.333333,388.333333
-48.333333,-46.666667,388.333333,390
-46.666667,-43.333333,390,390
-43.333333,-41.666667,390,391.666667
-41.666667,-38.333333,391.666667,391.666667
-38.333333,-36.666667,391.666667,393.333333
